entry_date,exit_date,entry_price,exit_price,position,position_size,pnl,pnl_pct,pnl_dollar,exit_reason,hold_days
1990-10-18,1990-11-02,0.5185909271240234,0.5514676570892334,long,3856,0.06339626909312923,6.339626909312923,126.77267074584961,time_limit,15
1990-11-12,1990-11-27,0.5843431949615479,0.6097955703735352,long,3466,0.043557237649806416,4.355723764980642,88.217933177948,time_limit,15
1991-01-10,1991-01-25,0.6638820767402649,0.7593285441398621,long,3077,0.14377021272851645,14.377021272851644,293.6887801885605,time_limit,15
1991-01-30,1991-02-14,0.8165962100028992,0.8547744154930115,long,2573,0.04675285658009209,4.675285658009209,98.23252272605896,time_limit,15
1991-03-13,1991-03-21,0.8526529669761658,0.8100203186273575,long,2487,-0.050000000000000024,-5.000000000000003,-106.02739644348627,stop_loss,8
1991-04-15,1991-04-18,0.9650673270225525,0.9168139606714248,long,2176,-0.050000000000000024,-5.000000000000003,-104.99932518005376,stop_loss,3
1991-05-01,1991-05-16,0.8547744154930115,0.8431081175804138,long,2432,-0.013648393893339498,-1.3648393893339499,-28.3724365234375,time_limit,15
1991-05-22,1991-06-06,0.9056792855262756,0.9427966475486755,long,2289,0.04098289826826679,4.0982898268266785,84.96164166927338,time_limit,15
1991-07-08,1991-07-23,0.8526529669761658,0.8462904691696167,long,2451,-0.007462001603199633,-0.7462001603199633,-15.594482123851776,time_limit,15
1991-07-30,1991-08-14,0.925828754901886,1.0499085187911987,long,2254,0.1340202097119591,13.40202097119591,279.6757878065109,time_limit,15
1991-09-11,1991-09-26,1.0435452461242676,1.135810136795044,long,2053,0.08841484450573528,8.841484450573528,189.41982054710388,time_limit,15
1991-10-14,1991-10-29,1.173988938331604,1.1548993587493896,long,1857,-0.016260442461530526,-1.6260442461530527,-35.44934928417206,time_limit,15
1991-10-30,1991-11-14,1.2026227712631226,1.2630720138549805,long,1807,0.05026450856935602,5.026450856935602,109.23178136348724,time_limit,15
1991-11-18,1991-12-03,1.2376198768615723,1.2901153564453125,long,1774,0.04241648067002713,4.241648067002713,93.12698078155518,time_limit,15
1991-12-23,1992-01-07,1.3585178852081299,1.5271399021148682,long,1630,0.12412204413555054,12.412204413555054,274.8538875579834,time_limit,15
1992-01-07,1992-01-22,1.5271399021148682,1.597133994102478,long,1486,0.0458334510745729,4.58334510745729,104.01122069358826,time_limit,15
1992-02-03,1992-02-12,1.5907707214355469,1.5112321853637694,long,1439,-0.050000000000000114,-5.0000000000000115,-114.45595340728785,stop_loss,9
1992-02-12,1992-02-14,1.6003161668777466,1.5203003585338593,long,1416,-0.05,-5.0,-113.30238461494446,stop_loss,2
1992-02-26,1992-03-12,1.552592396736145,1.5414570569992065,long,1445,-0.0071720947238613,-0.71720947238613,-16.0905659198761,time_limit,15
1992-03-17,1992-03-27,1.6289492845535278,1.5475018203258513,long,1376,-0.05000000000000011,-5.000000000000011,-112.07171077728296,stop_loss,10
1992-04-01,1992-04-08,1.5335034132003784,1.4568282425403594,long,1447,-0.050000000000000086,-5.000000000000009,-110.94897194504757,stop_loss,7
1992-05-28,1992-06-10,1.514413833618164,1.4386931419372557,long,1450,-0.050000000000000086,-5.000000000000009,-109.7950029373171,stop_loss,13
1992-09-09,1992-09-24,1.491347312927246,1.531913161277771,long,1458,0.027200805606375788,2.720080560637579,59.14500689506531,time_limit,15
1992-10-05,1992-10-20,1.560546636581421,1.6774685382843018,long,1401,0.07492368312619826,7.492368312619827,163.80758428573608,time_limit,15
1992-10-21,1992-11-05,1.7180320024490356,1.7538248300552368,long,1291,0.02083362100076069,2.083362100076069,46.20854043960571,time_limit,15
1993-01-05,1993-01-20,1.6512202024459839,1.687013030052185,long,1349,0.021676592590849225,2.1676592590849224,48.28452444076538,time_limit,15
1993-02-02,1993-02-04,1.6989433765411377,1.6139962077140808,long,1317,-0.05,-5.0,-111.87542134523392,stop_loss,2
1993-03-24,1993-04-08,1.6464475393295288,1.6989433765411377,long,1346,0.03188430603321039,3.188430603321039,70.65939688682556,time_limit,15
1993-05-18,1993-06-02,1.6893980503082275,1.827795386314392,long,1320,0.08192109371791581,8.192109371791581,182.6844835281372,time_limit,15
