entry_date,exit_date,entry_price,exit_price,position,position_size,pnl,pnl_pct,pnl_dollar,exit_reason,hold_days
2000-01-07,2000-01-24,76.01624298095703,77.38870239257812,long,26,0.018054817731059283,1.8054817731059283,35.68394470214844,time_limit,17
2000-01-31,2000-02-15,75.75228881835938,84.85838317871094,long,26,0.12020883464242738,12.020883464242738,236.75845336914062,time_limit,15
2000-02-23,2000-03-09,88.05216217041016,97.13184356689453,long,23,0.10311707484152607,10.311707484152608,208.83267211914062,time_limit,15
2000-04-17,2000-04-24,75.69951629638672,71.91454048156739,long,27,-0.04999999999999996,-4.9999999999999964,-102.194347000122,stop_loss,7
2000-05-30,2000-05-31,72.26822662353516,70.20942687988281,long,28,-0.02848831138997213,-2.848831138997213,-57.646392822265625,below_sma200,1
2000-07-20,2000-07-24,84.77922058105469,80.54025955200196,long,24,-0.04999999999999997,-4.9999999999999964,-101.73506469726556,stop_loss,4
2001-12-05,2001-12-12,36.192161560058594,34.38255348205566,long,56,-0.05000000000000004,-5.0000000000000036,-101.33805236816414,stop_loss,7
2002-01-03,2002-01-14,35.051918029785156,33.75120544433594,long,57,-0.03710817149418032,-3.7108171494180318,-74.14061737060547,below_sma200,11
2003-01-10,2003-01-17,22.88932991027832,21.37744903564453,long,87,-0.06605177524025671,-6.605177524025671,-131.53363609313965,below_sma200,7
2003-03-13,2003-03-28,21.639284133911133,22.027816772460938,long,91,0.017954967278281234,1.7954967278281233,35.35647010803223,time_limit,15
2003-04-22,2003-05-07,23.168060302734375,23.894439697265625,long,85,0.03135262016067526,3.1352620160675264,61.74224853515625,time_limit,15
2003-05-27,2003-06-11,24.57857322692871,25.777950286865234,long,81,0.04879766815034101,4.879766815034102,97.1495418548584,time_limit,15
2003-07-01,2003-07-16,25.634363174438477,27.163129806518555,long,78,0.05963739460493018,5.963739460493018,119.2437973022461,time_limit,15
2003-09-02,2003-09-17,28.607437133789062,28.936859130859375,long,71,0.011515257222438244,1.1515257222438244,23.388961791992188,time_limit,15
2003-10-24,2003-11-10,28.886165618896484,29.722347259521484,long,70,0.02894747789156185,2.894747789156185,58.53271484375,time_limit,17
2003-11-24,2003-12-09,29.713918685913086,29.08042335510254,long,69,-0.021319817742884155,-2.1319817742884153,-43.711177825927734,time_limit,15
2003-12-11,2003-12-26,29.81524085998535,30.2916316986084,long,68,0.015978097941928917,1.5978097941928917,32.39457702636719,time_limit,15
2004-01-12,2004-01-27,32.387115478515625,31.88858985900879,long,63,-0.015392714421805757,-1.5392714421805758,-31.407114028930664,time_limit,15
2004-02-06,2004-02-23,31.373180389404297,30.798606872558594,long,65,-0.01831416227854778,-1.831416227854778,-37.3472785949707,time_limit,17
2004-03-25,2004-04-12,29.86070442199707,31.40697479248047,long,68,0.051782782771337736,5.178278277133773,105.1463851928711,time_limit,18
2004-04-22,2004-04-30,31.19573402404785,29.37906265258789,long,66,-0.05823460893914353,-5.823460893914353,-119.90031051635742,below_sma200,8
2004-05-25,2004-06-09,30.384567260742188,30.9084415435791,long,67,0.01724145940079838,1.724145940079838,35.09957695007324,time_limit,15
2004-06-22,2004-07-07,30.99294662475586,30.50286865234375,long,66,-0.015812564656909896,-1.5812564656909895,-32.34514617919922,time_limit,15
2004-10-01,2004-10-08,30.50286865234375,30.06348991394043,long,66,-0.01440450547163733,-1.440450547163733,-28.99899673461914,below_sma200,7
2004-10-18,2004-10-22,30.53667640686035,30.24937629699707,long,66,-0.00940836212937491,-0.940836212937491,-18.961807250976562,below_sma200,4
2004-11-04,2004-11-19,31.787193298339844,32.68283462524414,long,63,0.028176168889723074,2.8176168889723074,56.4254035949707,time_limit,15
2004-12-01,2004-12-16,33.73058319091797,33.75595474243164,long,60,0.0007521824146966786,0.07521824146966785,1.5222930908203125,time_limit,15
2005-01-18,2005-01-24,33.03001022338867,31.378509712219238,long,61,-0.050000000000000024,-5.000000000000003,-100.74153118133549,stop_loss,6
2005-02-24,2005-03-11,31.912506103515625,31.707773208618164,long,63,-0.006415443971506413,-0.6415443971506414,-12.898172378540039,time_limit,15
2005-03-30,2005-04-01,31.332435607910156,30.88033103942871,long,64,-0.014429282617509231,-1.4429282617509231,-28.9346923828125,below_sma200,2
2005-07-08,2005-07-25,32.24938201904297,33.53013229370117,long,62,0.03971394781772661,3.971394781772661,79.4065170288086,time_limit,17
2005-08-29,2005-09-13,33.09468078613281,33.83750915527344,long,61,0.022445551716935783,2.244555171693578,45.312530517578125,time_limit,15
2005-09-29,2005-10-12,33.47037124633789,32.01033401489258,long,60,-0.043621781805155815,-4.362178180515581,-87.60223388671875,below_sma200,13
2005-10-19,2005-11-03,33.01784896850586,34.102210998535156,long,61,0.032841692112154784,3.2841692112154783,66.14608383178711,time_limit,15
2005-11-17,2005-12-02,35.271968841552734,35.95503234863281,long,57,0.0193656189181984,1.93656189181984,38.93461990356445,time_limit,15
2006-01-04,2006-01-19,35.7250862121582,36.39268493652344,long,57,0.01868711303873726,1.8687113038737262,38.05312728881836,time_limit,15
2006-03-14,2006-03-29,35.40841293334961,35.90431213378906,long,57,0.014005123623385778,1.4005123623385778,28.266254425048828,time_limit,15
2006-04-18,2006-05-03,36.3668212890625,35.536014556884766,long,56,-0.022845184229164497,-2.2845184229164497,-46.525177001953125,time_limit,15
2006-10-04,2006-10-19,35.4174690246582,35.9320182800293,long,57,0.014528120431554733,1.4528120431554734,29.329307556152344,time_limit,15
2006-10-25,2006-11-09,36.38652420043945,36.72953796386719,long,56,0.009426945028829977,0.9426945028829977,19.208770751953125,time_limit,15
2006-11-14,2006-11-29,37.67287063598633,37.79292297363281,long,54,0.003186705329850987,0.3186705329850987,6.482826232910156,time_limit,15
2007-01-04,2007-01-19,37.830406188964844,37.92484664916992,long,54,0.0024964167641590503,0.24964167641590504,5.099784851074219,time_limit,15
2007-01-24,2007-02-08,38.03647994995117,38.16525650024414,long,54,0.003385606408963563,0.3385606408963563,6.9539337158203125,time_limit,15
2007-02-14,2007-03-01,38.294036865234375,36.37933502197266,long,53,-0.04999999999999996,-4.9999999999999964,-101.47919769287103,stop_loss,15
2007-03-14,2007-03-29,36.91167068481445,37.43324279785156,long,55,0.014130276504977743,1.4130276504977743,28.686466217041016,time_limit,15
2007-04-25,2007-05-10,39.78731918334961,39.684226989746094,long,51,-0.002591081674250075,-0.2591081674250075,-5.257701873779297,time_limit,15
2007-05-11,2007-05-29,40.19111633300781,40.21689224243164,long,50,0.0006413335029129089,0.06413335029129089,1.2887954711914062,time_limit,18
2007-05-30,2007-06-14,40.543365478515625,40.689414978027344,long,50,0.0036023033062983385,0.36023033062983384,7.3024749755859375,time_limit,15
2007-06-21,2007-07-06,41.0479736328125,42.01097869873047,long,49,0.02346047759951229,2.346047759951229,47.18724822998047,time_limit,15
2007-07-17,2007-07-31,43.188941955566406,41.02949485778809,long,47,-0.04999999999999997,-4.9999999999999964,-101.49401359558098,stop_loss,14
2007-08-01,2007-08-16,41.18556594848633,39.12628765106201,long,49,-0.05000000000000011,-5.000000000000011,-100.90463657379172,stop_loss,15
2007-09-18,2007-10-03,43.02558135986328,44.4329833984375,long,46,0.03271081979817532,3.271081979817532,64.74049377441406,time_limit,15
2007-10-05,2007-10-22,45.43950271606445,45.654563903808594,long,44,0.004732912441581562,0.47329124415815615,9.462692260742188,time_limit,17
2007-10-22,2007-11-06,45.654563903808594,47.039581298828125,long,44,0.030336888069672052,3.033688806967205,60.940765380859375,time_limit,15
2007-11-13,2007-11-28,43.650142669677734,44.28673553466797,long,46,0.014583981312676297,1.4583981312676297,29.28327178955078,time_limit,15
2008-05-01,2008-05-07,41.97161102294922,41.40281677246094,long,48,-0.013551880345438163,-1.3551880345438163,-27.3021240234375,below_sma200,6
2008-05-15,2008-05-30,43.066162109375,43.10063171386719,long,47,0.0008003871904035737,0.08003871904035738,1.6200714111328125,time_limit,15
2008-06-13,2008-06-18,41.68720626831055,41.38557434082031,long,49,-0.007235599467828252,-0.7235599467828252,-14.779964447021484,below_sma200,5
2008-08-14,2008-08-21,41.61280059814453,40.42262649536133,long,49,-0.0286011536276237,-2.86011536276237,-58.31853103637695,below_sma200,7
2009-05-26,2009-06-10,30.11787223815918,31.875263214111328,long,67,0.05835043598217884,5.835043598217884,117.74519538879395,time_limit,15
2009-07-13,2009-07-28,30.848350524902344,33.87336349487305,long,66,0.09806076884171684,9.806076884171684,199.6508560180664,time_limit,15
2009-11-05,2009-11-20,36.74322509765625,37.688907623291016,long,56,0.025737602595344525,2.5737602595344526,52.958221435546875,time_limit,15
2009-12-18,2010-01-04,38.638248443603516,40.34158706665039,long,54,0.04408426084668596,4.408426084668596,91.98028564453125,time_limit,17
2010-01-08,2010-01-22,40.45457077026367,38.43184223175049,long,52,-0.05000000000000004,-5.0000000000000036,-105.18188400268562,stop_loss,14
2010-03-10,2010-03-25,40.993385314941406,41.71574020385742,long,51,0.017621254828464467,1.7621254828464465,36.8400993347168,time_limit,15
2010-04-14,2010-04-29,43.4208984375,43.69929122924805,long,48,0.006411493123495941,0.641149312349594,13.36285400390625,time_limit,15
2010-04-29,2010-05-05,43.69929122924805,41.514326667785646,long,48,-0.04999999999999997,-4.9999999999999964,-104.87829895019524,stop_loss,6
2010-05-25,2010-05-26,38.8882942199707,38.453277587890625,long,53,-0.011186313023127654,-1.1186313023127654,-23.05588150024414,below_sma200,1
2010-09-20,2010-10-05,42.74540328979492,43.47195816040039,long,48,0.016997263206987384,1.6997263206987383,34.8746337890625,time_limit,15
2010-10-05,2010-10-20,43.47195816040039,44.81128692626953,long,48,0.03080902776284796,3.080902776284796,64.28778076171875,time_limit,15
2010-11-10,2010-11-16,47.02605056762695,44.67474803924561,long,44,-0.04999999999999997,-4.9999999999999964,-103.45731124877923,stop_loss,6
2011-01-14,2011-01-31,49.99627685546875,49.1191291809082,long,41,-0.01754425988751604,-1.754425988751604,-35.96305465698242,time_limit,17
2011-02-01,2011-02-16,50.040138244628906,51.64527130126953,long,41,0.03207691091486769,3.207691091486769,65.81045532226562,time_limit,15
2011-03-03,2011-03-15,51.11021423339844,48.55470352172851,long,40,-0.05000000000000006,-5.000000000000006,-102.22042846679699,stop_loss,12
2011-04-20,2011-05-05,50.83977127075195,51.191104888916016,long,40,0.00691060579901122,0.691060579901122,14.0533447265625,time_limit,15
2011-05-17,2011-06-01,50.558692932128906,50.14586639404297,long,41,-0.00816529293271337,-0.8165292932713369,-16.925888061523438,time_limit,15
2011-06-21,2011-06-24,48.620887756347656,47.87260818481445,long,42,-0.015390084510242456,-1.5390084510242457,-31.42774200439453,below_sma200,3
2011-07-01,2011-07-18,50.98019027709961,50.654457092285156,long,40,-0.00638940700385681,-0.6389407003856811,-13.029327392578125,time_limit,17
2011-07-19,2011-08-03,51.80769729614258,49.21731243133544,long,39,-0.05000000000000011,-5.000000000000011,-101.02500972747825,stop_loss,15
2011-11-03,2011-11-17,51.24231719970703,49.24024963378906,long,39,-0.03907058999918558,-3.907058999918558,-78.08063507080078,below_sma200,14
2011-12-09,2011-12-13,50.2897834777832,49.17850112915039,long,40,-0.02209757672000616,-2.209757672000616,-44.4512939453125,below_sma200,4
2011-12-20,2011-12-21,49.47395324707031,48.766300201416016,long,40,-0.014303547608583347,-1.4303547608583347,-28.306121826171875,below_sma200,1
2012-01-18,2012-02-02,52.66904067993164,54.19182586669922,long,38,0.028912339528291454,2.8912339528291455,57.86583709716797,time_limit,15
2012-02-14,2012-02-29,55.962520599365234,57.024925231933594,long,36,0.018984216957883236,1.8984216957883235,38.24656677246094,time_limit,15
2012-03-13,2012-03-28,58.66280746459961,60.2523307800293,long,34,0.027095929842582016,2.7095929842582014,54.043792724609375,time_limit,15
2012-04-12,2012-04-27,59.60489273071289,59.63150405883789,long,34,0.0004464621427174863,0.04464621427174863,0.90478515625,time_limit,15
2012-05-21,2012-06-05,55.43672180175781,54.20400619506836,long,36,-0.02223644484422536,-2.223644484422536,-44.37776184082031,time_limit,15
2012-07-18,2012-08-02,57.235233306884766,57.226341247558594,long,35,-0.00015535988607741482,-0.015535988607741483,-0.3112220764160156,time_limit,15
2012-08-16,2012-08-31,60.46189498901367,60.586334228515625,long,33,0.00205814322433269,0.20581432243326903,4.106494903564453,time_limit,15
2012-09-06,2012-09-21,61.80409240722656,62.53304672241211,long,32,0.01179459622806972,1.179459622806972,23.3265380859375,time_limit,15
2012-12-17,2012-12-24,58.43251037597656,58.327674865722656,long,34,-0.0017941298359313246,-0.17941298359313246,-3.5644073486328125,below_sma200,7
2012-12-31,2013-01-15,58.38148498535156,59.72604751586914,long,34,0.02303063258591214,2.303063258591214,45.715126037597656,time_limit,15
2013-01-25,2013-02-11,60.057716369628906,60.963043212890625,long,34,0.015074280175586915,1.5074280175586916,30.781112670898438,time_limit,17
2013-03-05,2013-03-20,61.563636779785156,61.733089447021484,long,33,0.002752479809509387,0.2752479809509387,5.591938018798828,time_limit,15
2013-04-19,2013-05-06,61.1760368347168,65.04837036132812,long,33,0.06329820836667564,6.329820836667564,127.78700637817383,time_limit,17
2013-05-17,2013-06-03,66.75546264648438,65.92887878417969,long,31,-0.01238226550360398,-1.238226550360398,-25.624099731445312,time_limit,17
2013-07-11,2013-07-26,67.57051086425781,67.9310302734375,long,30,0.00533545483922615,0.533545483922615,10.815582275390625,time_limit,15
2013-09-04,2013-09-19,69.13878631591797,71.65340423583984,long,30,0.03637058233032548,3.637058233032548,75.43853759765625,time_limit,15
2013-10-01,2013-10-16,72.03128814697266,72.66407775878906,long,29,0.008784927051773143,0.8784927051773143,18.35089874267578,time_limit,15
2013-12-20,2014-01-06,78.44499206542969,78.28177642822266,long,26,-0.0020806380740136447,-0.20806380740136446,-4.2436065673828125,time_limit,17
2014-01-14,2014-01-29,79.48789978027344,77.02122497558594,long,26,-0.031032079241067788,-3.103207924106779,-64.133544921875,time_limit,15
2014-06-25,2014-07-10,85.37699127197266,86.63077545166016,long,24,0.014685270129671213,1.4685270129671213,30.0908203125,time_limit,15
2014-07-18,2014-08-04,87.9669418334961,87.2347640991211,long,23,-0.008323328276670873,-0.8323328276670874,-16.840087890625,time_limit,17
2014-09-10,2014-09-25,91.58189392089844,89.6623306274414,long,22,-0.02096007421636209,-2.096007421636209,-42.23039245605469,time_limit,15
2014-12-09,2014-12-24,96.28560638427734,96.03665924072266,long,21,-0.0025855073557010753,-0.25855073557010755,-5.2278900146484375,time_limit,15
