Metric,Value
Initial Capital,10000.0
Final Capital,14284.885832389604
Total Return (%),42.84885832389604
Total Trades,225.0
Win Rate (%),47.55555555555556
Average Win (%),5.319295632256467
Average Loss (%),-3.5589570750200457
Max Drawdown (%),-14.048381351726663
Sharpe Ratio,0.3577446650270796
