entry_date,exit_date,entry_price,exit_price,position,position_size,pnl,pnl_pct,pnl_dollar,exit_reason,hold_days
2002-06-12,2002-06-13,16.96346664428711,16.624197311401367,long,294,-0.019999999999999983,-1.9999999999999982,-99.74518386840812,stop_loss,1
2002-06-14,2002-06-19,16.874897003173828,16.603071212768555,long,293,-0.01610829330419904,-1.610829330419904,-79.64495658874512,time_limit,5
2002-06-26,2002-06-27,16.53282356262207,16.202167091369628,long,297,-0.020000000000000077,-2.0000000000000075,-98.20497196197547,stop_loss,1
2002-07-05,2002-07-08,16.752727508544922,16.417672958374023,long,290,-0.020000000000000007,-2.000000000000001,-97.16581954956058,stop_loss,3
2002-08-19,2002-08-20,15.882251739501953,15.564606704711913,long,303,-0.020000000000000052,-2.0000000000000053,-96.24644554138209,stop_loss,1
2002-09-10,2002-09-11,15.207258224487305,14.903113059997558,long,313,-0.020000000000000018,-2.0000000000000018,-95.19743648529061,stop_loss,1
2002-10-11,2002-10-14,14.926264762878418,14.627739467620849,long,316,-0.020000000000000056,-2.0000000000000058,-94.33399330139187,stop_loss,3
2002-10-14,2002-10-21,15.054544448852539,16.03802490234375,long,310,0.06532781226509793,6.532781226509793,304.8789405822754,time_limit,7
2002-10-23,2002-10-24,16.24877166748047,15.92379623413086,long,296,-0.01999999999999997,-1.999999999999997,-96.19272827148423,stop_loss,1
2002-10-25,2002-10-28,16.089942932128906,15.768144073486328,long,296,-0.02000000000000003,-2.000000000000003,-95.25246215820327,stop_loss,3
2002-11-14,2002-11-15,17.406339645385742,17.05821285247803,long,271,-0.019999999999999917,-1.9999999999999918,-94.34236087799033,stop_loss,1
2002-11-20,2002-11-25,17.2933349609375,17.785076141357422,long,270,0.028435300740468846,2.8435300740468845,132.7701187133789,time_limit,5
2002-12-16,2002-12-18,16.639713287353516,16.306919021606443,long,285,-0.02000000000000011,-2.000000000000011,-94.84636573791556,stop_loss,2
2003-01-07,2003-01-08,17.04288673400879,16.70202899932861,long,275,-0.02000000000000012,-2.000000000000012,-93.73587703704888,stop_loss,1
2003-01-09,2003-01-14,17.045940399169922,17.400243759155273,long,272,0.020785204669764357,2.0785204669764354,96.37051391601562,time_limit,5
2003-03-17,2003-03-24,15.89043140411377,15.572622776031494,long,295,-0.02,-2.0,-93.75354528427124,stop_loss,7
2003-04-17,2003-04-22,15.626910209655762,15.786249160766602,long,297,0.010196446320679913,1.0196446320679913,47.323668479919434,time_limit,5
2003-04-22,2003-04-25,15.786249160766602,15.470524177551269,long,296,-0.020000000000000035,-2.0000000000000036,-93.45459503173845,stop_loss,3
2003-05-06,2003-05-07,16.160057067871094,15.836855926513671,long,286,-0.020000000000000052,-2.0000000000000053,-92.4355264282229,stop_loss,1
2003-05-09,2003-05-14,16.15393829345703,15.83085952758789,long,283,-0.020000000000000035,-2.0000000000000036,-91.43129074096696,stop_loss,5
2003-06-16,2003-06-23,15.559502601623535,15.798510551452637,long,291,0.015360899120526038,1.5360899120526037,69.55131340026855,time_limit,7
2003-07-01,2003-07-07,16.02523422241211,16.80352210998535,long,285,0.04856639701931887,4.856639701931887,221.81204795837402,time_limit,6
2003-07-07,2003-07-10,16.80352210998535,16.467451667785646,long,278,-0.019999999999999917,-1.9999999999999918,-93.42758293151816,stop_loss,3
2003-07-11,2003-07-16,16.736112594604492,16.86481285095215,long,277,0.007689973141621165,0.7689973141621165,35.64997100830078,time_limit,5
2003-07-25,2003-07-29,16.478734970092773,16.149160270690917,long,282,-0.02000000000000006,-2.0000000000000058,-92.94006523132353,stop_loss,4
2003-08-19,2003-08-20,16.313278198242188,15.987012634277344,long,282,-0.020000000000000014,-2.0000000000000013,-92.006889038086,stop_loss,1
2003-09-02,2003-09-08,16.705476760864258,17.673742294311523,long,273,0.05796096377899319,5.796096377899318,264.3364906311035,time_limit,6
