Metric,Value
Initial Capital,10000.0
Final Capital,9224.248887767773
Total Return (%),-7.757511122322266
Total Trades,419.0
Win Rate (%),44.39140811455847
Average Win (%),1.969135654554878
Average Loss (%),-1.6191135258676517
Max Drawdown (%),-24.707513942243356
Sharpe Ratio,-0.055717581986732954
