Metric,Value
Initial Capital,10000.0
Final Capital,12985.137641525256
Total Return (%),29.851376415252563
Total Trades,138.0
Win Rate (%),55.072463768115945
Average Win (%),3.9267568462328817
Average Loss (%),-3.020296610259226
Max Drawdown (%),-4.934417765607523
Sharpe Ratio,0.4715771275685309
