Metric,Value
Initial Capital,10000.0
Final Capital,11957.193935203548
Total Return (%),19.57193935203548
Total Trades,198.0
Win Rate (%),58.080808080808076
Average Win (%),2.720359640169443
Average Loss (%),-2.602964698041021
Max Drawdown (%),-5.910995881841446
Sharpe Ratio,0.38581333058322803
