Metric,Value
Initial Capital,10000.0
Final Capital,11957.205819320678
Total Return (%),19.572058193206775
Total Trades,198.0
Win Rate (%),58.080808080808076
Average Win (%),2.720361339544117
Average Loss (%),-2.602959914900369
Max Drawdown (%),-5.910971082697707
Sharpe Ratio,0.385816055202983
