Metric,Value
Initial Capital,10000.0
Final Capital,10452.37261375427
Total Return (%),4.523726137542708
Total Trades,30.0
Win Rate (%),53.333333333333336
Average Win (%),4.420732015376221
Average Loss (%),-3.629681080707814
Max Drawdown (%),-6.069996662573429
Sharpe Ratio,0.1686944520856173
