entry_date,exit_date,entry_price,exit_price,position,position_size,pnl,pnl_pct,pnl_dollar,exit_reason,hold_days
2000-01-07,2000-01-24,76.0162124633789,77.38873291015625,long,26,0.01805562790225257,1.805562790225257,35.68553161621094,time_limit,17
2000-01-31,2000-02-15,75.75228881835938,84.85840606689453,long,26,0.1202091367875368,12.02091367875368,236.75904846191406,time_limit,15
2000-02-23,2000-03-09,88.05211639404297,97.13182830810547,long,23,0.10311747503523691,10.31174750352369,208.8333740234375,time_limit,15
2000-04-17,2000-04-24,75.6994857788086,71.91451148986816,long,27,-0.05000000000000004,-5.0000000000000036,-102.19430580139168,stop_loss,7
2000-05-30,2000-05-31,72.26821899414062,70.2094497680664,long,28,-0.028487892115359036,-2.8487892115359035,-57.645538330078125,below_sma200,1
2000-07-20,2000-07-24,84.77922058105469,80.54025955200196,long,24,-0.04999999999999997,-4.9999999999999964,-101.73506469726556,stop_loss,4
2001-12-05,2001-12-12,36.192176818847656,34.382567977905275,long,56,-0.04999999999999996,-4.9999999999999964,-101.33809509277336,stop_loss,7
2002-01-03,2002-01-14,35.05192184448242,33.751224517822266,long,57,-0.03710773213608831,-3.710773213608831,-74.1397476196289,below_sma200,11
2003-01-10,2003-01-17,22.889331817626953,21.37745475769043,long,87,-0.06605160307791226,-6.605160307791226,-131.53330421447754,below_sma200,7
2003-03-13,2003-03-28,21.639293670654297,22.027814865112305,long,91,0.01795443050827917,1.7954430508279169,35.35542869567871,time_limit,15
2003-04-22,2003-05-07,23.16805076599121,23.89443016052246,long,85,0.03135263306646043,3.1352633066460434,61.74224853515625,time_limit,15
2003-05-27,2003-06-11,24.578584671020508,25.777942657470703,long,81,0.04879686940901458,4.879686940901458,97.14799690246582,time_limit,15
2003-07-01,2003-07-16,25.634361267089844,27.163131713867188,long,78,0.059637547854177464,5.963754785417747,119.24409484863281,time_limit,15
2003-09-02,2003-09-17,28.607439041137695,28.93684196472168,long,71,0.011514589722984315,1.1514589722984314,23.38760757446289,time_limit,15
2003-10-24,2003-11-10,28.88617706298828,29.722352981567383,long,70,0.02894726833376957,2.894726833376957,58.53231430053711,time_limit,17
2003-11-24,2003-12-09,29.713895797729492,29.080448150634766,long,69,-0.021318229403736746,-2.1318229403736746,-43.70788764953613,time_limit,15
2003-12-11,2003-12-26,29.81525421142578,30.2916259765625,long,68,0.01597745106443412,1.597745106443412,32.393280029296875,time_limit,15
2004-01-12,2004-01-27,32.38712692260742,31.888591766357422,long,63,-0.015393003443661558,-1.5393003443661557,-31.40771484375,time_limit,15
2004-02-06,2004-02-23,31.373167037963867,30.798606872558594,long,65,-0.018313744503703207,-1.8313744503703207,-37.34641075134277,time_limit,17
2004-03-25,2004-04-12,29.86070442199707,31.406963348388672,long,68,0.05178239952211377,5.178239952211377,105.1456069946289,time_limit,18
2004-04-22,2004-04-30,31.19571876525879,29.379072189331055,long,66,-0.058233842585824584,-5.8233842585824585,-119.89867401123047,below_sma200,8
2004-05-25,2004-06-09,30.38457679748535,30.90846061706543,long,67,0.017241767857152947,1.7241767857152948,35.100215911865234,time_limit,15
2004-06-22,2004-07-07,30.99294090270996,30.50287628173828,long,66,-0.01581213678656837,-1.581213678656837,-32.34426498413086,time_limit,15
2004-10-01,2004-10-08,30.50287628173828,30.063501358032227,long,66,-0.014404376808527509,-1.4404376808527508,-28.99874496459961,below_sma200,7
2004-10-18,2004-10-22,30.53666877746582,30.249374389648438,long,66,-0.009408177097214624,-0.9408177097214624,-18.961429595947266,below_sma200,4
2004-11-04,2004-11-19,31.787200927734375,32.6828498840332,long,63,0.028176402141698902,2.81764021416989,56.42588424682617,time_limit,15
2004-12-01,2004-12-16,33.7305908203125,33.755950927734375,long,60,0.000751842965246941,0.0751842965246941,1.5216064453125,time_limit,15
2005-01-18,2005-01-24,33.03001403808594,31.37851333618164,long,61,-0.05,-5.0,-100.74154281616211,stop_loss,6
2005-02-24,2005-03-11,31.912511825561523,31.707775115966797,long,63,-0.006415562357292572,-0.6415562357292572,-12.898412704467773,time_limit,15
2005-03-30,2005-04-01,31.33243179321289,30.88032341003418,long,64,-0.014429406123422724,-1.4429406123422723,-28.9349365234375,below_sma200,2
2005-07-08,2005-07-25,32.249385833740234,33.530147552490234,long,62,0.039714297982382976,3.971429798238298,79.4072265625,time_limit,17
2005-08-29,2005-09-13,33.09469223022461,33.837528228759766,long,61,0.02244577448756999,2.244577448756999,45.31299591064453,time_limit,15
2005-09-29,2005-10-12,33.47037124633789,32.010311126708984,long,60,-0.043622465639327396,-4.3622465639327395,-87.60360717773438,below_sma200,13
