Metric,Value
Initial Capital,10000.0
Final Capital,3205.774302215549
Total Return (%),-67.94225697784451
Total Trades,690.0
Win Rate (%),37.53623188405797
Average Win (%),1.9443560622921339
Average Loss (%),-1.6849420269902209
Max Drawdown (%),-67.94225697784451
Sharpe Ratio,-0.8176085848600156
