Metric,Value
Initial Capital,10000.0
Final Capital,12985.146233978268
Total Return (%),29.851462339782685
Total Trades,138.0
Win Rate (%),55.072463768115945
Average Win (%),3.9267604209657954
Average Loss (%),-3.0202959879245586
Max Drawdown (%),-4.934460343759293
Sharpe Ratio,0.4715776403478207
