Metric,Value
Initial Capital,10000.0
Final Capital,10452.379064445497
Total Return (%),4.523790644454966
Total Trades,30.0
Win Rate (%),53.333333333333336
Average Win (%),4.420748531419227
Average Loss (%),-3.629680781220216
Max Drawdown (%),-6.0699734471077775
Sharpe Ratio,0.16869694228243134
