Metric,Value
Initial Capital,10000.0
Final Capital,11978.291260811677
Total Return (%),19.782912608116767
Total Trades,285.0
Win Rate (%),47.368421052631575
Average Win (%),4.604277742960799
Average Loss (%),-3.5019736855879335
Max Drawdown (%),-14.832105525328092
Sharpe Ratio,0.1921542881592807
